25620516;41.14996;-8.614044;-0.1503434;0.7182022
25620518;41.14993;-8.614813;-0.1503568;0.7182017
25620570;41.15299;-8.612018;-0.1503081;0.7182552
25620653;41.1536;-8.611996;-0.1503077;0.7182658
25620692;41.14837;-8.61437;-0.1503491;0.7181746
25620737;41.14795;-8.612149;-0.1503104;0.7181672
25620743;41.14788;-8.611281;-0.1502952;0.718166
25620759;41.1488;-8.612135;-0.1503101;0.718182
25620947;41.14717;-8.612186;-0.150311;0.7181537
25620960;41.14599;-8.612215;-0.1503115;0.718133
25632224;41.15007;-8.617771;-0.1504085;0.7182041
25632225;41.15159;-8.617603;-0.1504056;0.7182307
25632226;41.15071;-8.621094;-0.1504665;0.7182155
25632227;41.15168;-8.621293;-0.1504699;0.7182322
25632228;41.15022;-8.623055;-0.1505007;0.7182068
25632229;41.14937;-8.622926;-0.1504984;0.718192
25632230;41.14964;-8.620875;-0.1504627;0.7181967
25632231;41.15068;-8.623142;-0.1505022;0.7182148
25632278;41.15249;-8.618032;-0.150413;0.7182464
25632279;41.15224;-8.61792;-0.1504111;0.718242
25632284;41.1552;-8.61888;-0.1504278;0.7182937
25632285;41.15416;-8.613308;-0.1503306;0.7182757
25632292;41.15287;-8.613593;-0.1503356;0.7182531
25632293;41.15374;-8.613251;-0.1503296;0.7182683
25632361;41.15261;-8.620755;-0.1504606;0.7182485
25632362;41.14777;-8.622663;-0.1504939;0.7181641
25632364;41.15359;-8.621045;-0.1504656;0.7182656
25632365;41.15073;-8.614271;-0.1503474;0.7182157
25632366;41.15167;-8.61385;-0.15034;0.7182321
25632367;41.14916;-8.614964;-0.1503595;0.7181883
25632368;41.14859;-8.615614;-0.1503708;0.7181784
25632370;41.14777;-8.620502;-0.1504561;0.7181641
25632372;41.15292;-8.624072;-0.1505184;0.7182539
25632375;41.1552;-8.610018;-0.1502732;0.7182937
25632376;41.15185;-8.610143;-0.1502753;0.7182353
25632398;41.15092;-8.606738;-0.1502159;0.7182191
25632399;41.15111;-8.607389;-0.1502273;0.7182223
25632400;41.15023;-8.60775;-0.1502336;0.7182069
25632401;41.15049;-8.608911;-0.1502538;0.7182115
25632402;41.15016;-8.609421;-0.1502627;0.7182058
25632403;41.14964;-8.609517;-0.1502644;0.7181967
25632404;41.14922;-8.6095;-0.1502641;0.7181893
25632409;41.14978;-8.605782;-0.1501992;0.7181992
25632410;41.15096;-8.605365;-0.1501919;0.7182197
25632411;41.15094;-8.60425;-0.1501725;0.7182195
25632412;41.14939;-8.60411;-0.15017;0.7181924
25632413;41.1514;-8.60426;-0.1501727;0.7182274
25632414;41.15185;-8.605035;-0.1501862;0.7182353
25632416;41.15231;-8.606874;-0.1502183;0.7182432
25632417;41.15117;-8.608475;-0.1502462;0.7182233
25632419;41.1509;-8.609983;-0.1502726;0.7182187
25632421;41.14981;-8.610211;-0.1502765;0.7181997
25632422;41.1492;-8.61045;-0.1502807;0.7181891
25632423;41.15101;-8.60223;-0.1501372;0.7182206
25632424;41.15095;-8.603686;-0.1501627;0.7182196
25632425;41.15326;-8.603524;-0.1501598;0.7182599
25632426;41.15328;-8.602406;-0.1501403;0.7182602
25632427;41.15327;-8.600781;-0.150112;0.7182601
25632428;41.15105;-8.601141;-0.1501182;0.7182214
25632429;41.15108;-8.600131;-0.1501006;0.7182219
25632432;41.14898;-8.602083;-0.1501347;0.7181852
25632433;41.1492;-8.603171;-0.1501537;0.7181889
25632438;41.14895;-8.601905;-0.1501316;0.7181847
25632439;41.1495;-8.60182;-0.1501301;0.7181942
25632440;41.15014;-8.601207;-0.1501194;0.7182053
25632444;41.15054;-8.600733;-0.1501111;0.7182124
25632445;41.15228;-8.60487;-0.1501833;0.7182428
25632446;41.15363;-8.604746;-0.1501811;0.7182663
25632447;41.15482;-8.604693;-0.1501802;0.7182871
25632448;41.15469;-8.603827;-0.1501651;0.7182849
25632449;41.15457;-8.603006;-0.1501508;0.7182827
25632450;41.15509;-8.605544;-0.1501951;0.7182919
25632451;41.15482;-8.60576;-0.1501988;0.7182871
25632452;41.15441;-8.605925;-0.1502017;0.71828
25632453;41.15393;-8.606191;-0.1502064;0.7182717
25632454;41.15355;-8.60621;-0.1502067;0.7182649
25632463;41.15561;-8.602585;-0.1501434;0.7183009
122452414;41.16135;-8.600314;-0.1501038;0.718401
122452427;41.16271;-8.611128;-0.1502925;0.7184248
126604789;41.15987;-8.624672;-0.1505289;0.7183752
126617351;41.16036;-8.604431;-0.1501757;0.7183838
126617354;41.15944;-8.601063;-0.1501169;0.7183678
126617428;41.16172;-8.611365;-0.1502967;0.7184076
126647239;41.15053;-8.600469;-0.1501065;0.7182122
126647309;41.1505;-8.600242;-0.1501025;0.7182117
128560274;41.15805;-8.61223;-0.1503118;0.7183436
128560275;41.15734;-8.61265;-0.1503191;0.7183312
128560448;41.16499;-8.610975;-0.1502899;0.7184646
128560449;41.16293;-8.611084;-0.1502918;0.7184287
129533454;41.15207;-8.608223;-0.1502418;0.7182392
129545993;41.15148;-8.609498;-0.1502641;0.7182288
129545994;41.15157;-8.609549;-0.150265;0.7182304
129548927;41.15725;-8.60997;-0.1502723;0.7183295
129548929;41.15873;-8.609937;-0.1502717;0.7183554
129548930;41.16044;-8.609951;-0.150272;0.7183852
129549662;41.15663;-8.611876;-0.1503056;0.7183186
129550139;41.15516;-8.607632;-0.1502315;0.718293
129550744;41.15412;-8.607736;-0.1502333;0.7182749
129550745;41.15452;-8.607695;-0.1502326;0.7182819
129550851;41.15358;-8.60792;-0.1502365;0.7182655
